is it possible to nest `@layer`s?,"Layers may be nested. For example:

```
@layer framework {
  @layer layout {
  }
}
```

To append rules to the layout layer inside framework, join the two names with a ..

```
@layer framework.layout {
  p {
    margin-block: 1rem;
  }
}
```

## Footnote

[""Nesting layers"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/@layer#nesting_layers) Retrieved April 10, 2024."
`@page` CSS at-rule,"The `@page` at-rule is a CSS at-rule used to modify different aspects of printed pages. It targets and modifies the page's dimensions, orientation, and margins. The `@page` at-rule can be used to target all pages in a print-out or a subset using its various pseudo-classes.

**Syntax**

```
/* Targets all the pages */
@page {
  size: 8.5in 9in;
  margin-top: 4in;
}

/* Targets all even-numbered pages */
@page :left {
  margin-top: 4in;
}

/* Targets all odd-numbered pages */
@page :right {
  size: 11in;
  margin-top: 4in;
}

/* Targets all selectors with `page: wide;` set */
@page wide {
  size: a4 landscape;
}

@page {
  /* margin box at top right showing page number */
  @top-right {
    content: ""Page "" counter(pageNumber);
  }
}
```

**Page properties**

The `@page` at-rule can contain only [page descriptors](https://developer.mozilla.org/en-US/docs/Web/CSS/@page#page-descriptors) and [margin at-rules](https://developer.mozilla.org/en-US/docs/Web/CSS/@page#margin_at-rules). The following descriptors have been implemented by at least one browser:

* [`margin`](https://developer.mozilla.org/en-US/docs/Web/CSS/margin) - Specifies the page margins. Individual margin properties `margin-top`, `margin-right`, `margin-bottom`, and `margin-left` can also be used.
* [`page-orientation`](https://developer.mozilla.org/en-US/docs/Web/CSS/@page/page-orientation) - Specifies the orientation of the page. This does not affect the layout of the page; the rotation is applied after the layout in the output medium.
* [`size`](https://developer.mozilla.org/en-US/docs/Web/CSS/@page/size) - Specifies the target size and orientation of the page box's containing block. In the general case, where one page box is rendered onto one page sheet, it also indicates the size of the destination page sheet.

**Margin at-rules**

**Warning**: The margin at-rules have not been implemented by any user agent (updated: August 2023).

The [margin at-rules](https://developer.mozilla.org/en-US/docs/Web/CSS/@page#margin_at-rules) are used inside of the `@page` at-rule. They each target a different section of the document printed page, styling the area of the printed page based on the property values set in the style block:

```
@page {
  @top-left {
    /* page-margin-properties */
  }
}
```

## Footnote

[""`@page `- CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/@page) Retrieved April 11, 2024."
`@property` CSS at-rule,"The `@property` CSS at-rule is part of the [CSS Houdini](https://developer.mozilla.org/en-US/docs/Web/API/Houdini_APIs) umbrella of APIs. It allows developers to explicitly define their [CSS custom properties](https://developer.mozilla.org/en-US/docs/Web/CSS/--*), allowing for property type checking and constraining, setting default values, and defining whether a custom property can inherit values or not.

The `@property` rule represents a custom property registration directly in a stylesheet without having to run any JS. Valid `@property` rules result in a registered custom property, as if [`registerProperty()`](https://developer.mozilla.org/en-US/docs/Web/API/CSS/registerProperty_static) had been called with equivalent parameters.

**Syntax**

```
@property --property-name {
  syntax: ""<color>"";
  inherits: false;
  initial-value: #c0ffee;
}
```

**Descriptors**

**[`syntax`](https://developer.mozilla.org/en-US/docs/Web/CSS/@property/syntax)**

Describes the allowable syntax for the property. May be a `<length>, <number>, <percentage>, <length-percentage>, <color>, <image>, <url>, <integer>, <angle>, <time>, <resolution>, <transform-function>`, or `<custom-ident>`, or a list of data type and keyword values.

The `+` (space-separated) and `#` (comma-separated) multipliers indicate that a list of values is expected, for example `<color>#` means a comma-separated list of `<color>` values is the expected syntax.

Vertical lines (`|`) - can create ""or"" conditions for the expected syntax, for example `<length> | auto` accepts a `<length>` or `auto`, and `<color># | <integer>#` expects a comma-separated list of `<color>` values or a comma-separated list of `<integer>` values.

**[`inherits`](https://developer.mozilla.org/en-US/docs/Web/CSS/@property/inherits)**

Controls whether the custom property registration specified by `@property` inherits by default.

**[`initial-value`](https://developer.mozilla.org/en-US/docs/Web/CSS/@property/initial-value)**

Sets the initial value for the property.

The `@property` rule must include both the `syntax` and `inherits` descriptors; if either are missing, the entire `@property` rule is invalid and ignored. The `initial-value` descriptor is also required, unless the syntax is the [`*` universal syntax definition](https://drafts.css-houdini.org/css-properties-values-api/#universal-syntax-definition) (e.g., `initial-value: *`). If the `initial-value` descriptor is required and omitted, the entire `@property` rule is invalid and ignored.

Unknown descriptors are invalid and ignored, but do not invalidate the `@property` rule.

Examples:

With CSS:

```
@property --item-size {
  syntax: ""<percentage>"";
  inherits: true;
  initial-value: 40%;
}
```

With Js:

```
window.CSS.registerProperty({
  name: ""--item-color"",
  syntax: ""<color>"",
  inherits: false,
  initialValue: ""aqua"",
});
```

Usage example:

```
.container {
  display: flex;
  height: 200px;
  border: 1px dashed black;

  /* set custom property values on parent */
  --item-size: 20%;
  --item-color: orange;
}

/* use custom properties to set item size and background color */
.item {
  width: var(--item-size);
  height: var(--item-size);
  background-color: var(--item-color);
}

/* set custom property values on element itself */
.two {
  --item-size: initial;
  --item-color: inherit;
}

.three {
  /* invalid values */
  --item-size: 1000px;
  --item-color: xyz;
}
```

## Footnote

[""`@property` - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/@property) Retrieved April 16, 2024."
`@counter-style` CSS at-rule,"The `@counter-style` CSS at-rule lets you extend predefined list styles and define your own counter styles that are not part of the predefined set of styles. The `@counter-style` rule contains [descriptors](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style#descriptors) defining how the counter value is converted into a string representation.

```
@counter-style thumbs {
  system: cyclic;
  symbols: ""\1F44D"";
  suffix: "" "";
}

ul {
  list-style: thumbs;
}
```

**Syntax**

The `@counter-style` at-rule is identified by a [counter style name](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style#counter_style_name), and the style of the named counter can be fine-tuned using a `<declaration-list>` consisting of one or more [descriptors](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style#descriptors) and their values.

**Counter style name**

`<counter-style-name>` - Provides a name for your counter style. It is specified as a case-sensitive `<custom-ident>` without quotes. The value should not be equal to none. Like all custom identifiers, the value of your counter style can't be a [CSS-wide keyword](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Types#css-wide_keywords). Avoid other enumerated CSS property values, including values of [list](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_lists#properties) and [counter style properties](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_counter_styles#properties). The name of your counter can't be the case-insensitive [list-style-type](https://developer.mozilla.org/en-US/docs/Web/CSS/list-style-type) property values of `decimal`, `disc`, `square`, `circle`, `disclosure-open`, and `disclosure-closed`.

**Descriptors**

[`system`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/system)
Specifies the algorithm to be used for converting the integer value of a counter to a string representation. If the value is `cyclic`, `numeric`, `alphabetic`, `symbolic`, or `fixed`, the `symbols` descriptor must also be specified. If the value is `additive` , the `additive-symbols` descriptor must also be specified.

[`symbols`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/symbols)
Specifies the symbols that are to be used for the marker representations. Symbols can contain strings, images, or custom identifiers. 

[`additive-symbols`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/additive-symbols)
Defines the additive tuples for additive systems. While the `symbols` specified in the symbols descriptor are used for constructing marker representation by most algorithms, additive counter systems, such as Roman numerals, consist of a series of weighted symbols. The descriptors is a list of counter symbol along with their non-negative integer weights, listed by weight in descending order. 

[`negative`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/negative)
Specifies to symbols to be appended or prepended to the counter representation if the value is negative.

[`prefix`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/prefix)
Specifies a symbol that should be prepended to the marker representation. Prefixes are added to the representation in the final stage, before any characters added to negative counter values by the `negative` descriptor.

[`suffix`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/suffix)
Specifies, similar to the prefix descriptor, a symbol that is appended to the marker representation. Suffixes come after the marker representation, including after any characters added to negative counter values by the `negative` descriptor.

[`range`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/range)
Defines the range of values over which the counter style is applicable. If a counter style is used to represent a counter value outside of the ranges defined by this descriptor, the counter style will drop back to its fallback style.

[`pad`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/pad)
Is used when you need the marker representations to be of a minimum length. For example if you want the counters to start at 01 and go through 02, 03, 04, etc., then the `pad` descriptor is to be used. For representations larger than the specified pad value, the marker is constructed as normal.

[`speak-as`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/speak-as)
Describes how speech synthesizers, such as screen readers, should announce the counter style. For example, the value of the list item marker can be read out as numbers or alphabets for ordered lists or as audio cues for unordered lists, based on the value of this descriptor.

[`fallback`](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style/fallback)
Specifies the counter name of the system to fall back to if either the specified system is unable to construct the representation of a counter value or if the counter value is outside the specified `range`. If the fallback counter also fails to represent the value, then that counter's fallback is used, if one is specified. If there are either no fallback counters described or if the chain of fallback systems are unable to represent a counter value, then it will ultimately fall back to the decimal style.

Examples:

```
@counter-style circled-alpha {
  system: fixed;
  symbols: Ⓐ Ⓑ Ⓒ Ⓓ Ⓔ Ⓕ Ⓖ Ⓗ Ⓘ Ⓙ Ⓚ Ⓛ Ⓜ Ⓝ Ⓞ Ⓟ Ⓠ Ⓡ Ⓢ Ⓣ Ⓤ Ⓥ Ⓦ Ⓧ Ⓨ Ⓩ;
  suffix: "" "";
}

.items {
  list-style: circled-alpha;
}
```

## Footnote

[""@counter-style - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/@counter-style) Retrieved April 16, 2024."

Question,Answer
media queries,medis queries
What are CSS Media Queries?,"The CSS Media Query gives you a way to apply CSS only when the browser and device environment matches a rule that you specify, for example ""viewport is wider than 480 pixels"".

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Learn/CSS/CSS_layout/Media_queries)"
What is the syntax of a Media Query?,"A media query is composed of an optional media type and any number of media feature expressions, which may optionally be combined in various ways using logical operators. Media queries are case-insensitive.

***Media types*** define the broad category of device for which the media query applies: `all`, `print`, `screen`. The type is optional (assumed to be `all`) except when using the not or only logical operators.

***Media features*** describe a specific characteristic of the user agent, output device, or environment:

Examples:

Targeting media types

```
@media print {
  / … /
}
```

Targeting media features 

```
@media (color) {
  /* … */
}
```

Complex queries

```
@media screen and (min-width: 30em) and (orientation: landscape) {
  /* … */
}

@media screen and (min-width: 30em) and (orientation: landscape) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#syntax)"
How can you test for multiple Media Queries?,"You can **use a comma-separated list** to apply styles when the user's device matches any one of various media types, features, or states. For instance, the following rule will apply its styles if the user's device has either a minimum height of 680px or is a screen device in portrait mode:

```
@media (min-height: 680px), screen and (orientation: portrait) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#testing_for_multiple_queries)"
How can you combine multiple types or features in a Media Query?,"The ***and*** keyword combines a media feature with a media type or other media features. 

This example combines two media features to restrict styles to landscape-oriented devices with a width of at least 30 ems:

```
@media (min-width: 30em) and (orientation: landscape) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#combining_multiple_types_or_features)"
How can you improve Media Query compatibility with older browsers?,"The `only` keyword prevents older browsers that do not support media queries with media features from applying the given styles. It has no effect on modern browsers.

```
@media only screen and (color) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#improving_compatibility_with_older_browsers)"
"Rewrite this Media Query to the new level 4 syntax

```
@media (max-width: 30em) {
  /* … */
}
```","```
@media (width <= 30em) {  /* … */ }
```"
"Rewrite this Media Query to the new level 4 syntax

```
@media (min-width: 30em) and (max-width: 50em) {
  /* … */
}
```","```
@media (30em <= width <= 50em) {  /* … */ }
```"
How can you negate a feature in Media Queries level 4?,"Using ***not()*** around a media feature negates that feature in the query. For example, not(hover) would match if the device had no hover capability:

```
@media (not(hover)) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#negating_a_feature_with_not)"
How can you test for multiple features in Media Queries level 4?,"You can use ***or*** to test for a match among more than one feature, resolving to true if any of the features are true. For example, the following query tests for devices that have a monochrome display or hover capability:

```
@media (not (color)) or (hover) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#testing_for_multiple_features_with_or)"
List all Media Queries level 3 useful features,"* **width** - Width of the viewport including width of scrollbar.
* **height** - Height of the viewport.
* **aspect-ratio** - Width-to-height aspect ratio of the viewport
* **resolution** - Pixel density of the output device.
* **orientation** - Orientation of the viewport.

## Footnote

Source [dotConference/2017](https://www.dotconferences.com/2017/11/florian-rivoal-media-queries-4)"
What are Media Queries' media types?,"Media types describe the general category of a device. Except when using the not or only logical operators, the media type is optional and the all type is implied.



* **all** - Suitable for all devices.
* **print** - Intended for paged material and documents viewed on a screen in print preview mode. (Please see paged media for information about formatting issues that are specific to these formats.)
* **screen** - Intended primarily for screens.

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media#media_types)"
List and explain all Media Queries' logical operators,"The logical operators **`not`**, **`and`**, and **`only`** can be used to compose a complex media query. You can also combine multiple media queries into a single rule by separating them with commas.
 

**`and`** Used for combining multiple media features together into a single media query, requiring each chained feature to return true for the query to be `true`. It is also used for joining media features with media types.

**`not`** - Used to negate a media query, returning `true` if the query would otherwise return false. If present in a comma-separated list of queries, it will only negate the specific query to which it is applied. If you use the `not` operator, you must also specify a media type.

Note: In Level 3, the not keyword can't be used to negate an individual media feature expression, only an entire media query.

**`only`** - Applies a style only if an entire query matches. It is useful for preventing older browsers from applying selected styles. If you use the `only` operator, you must also specify a media type.

**`, (comma)`** - Commas are used to combine multiple media queries into a single rule. Each query in a comma-separated list is treated separately from the others Thus, if any of the queries in a list is `true`, the entire media statement returns `true`. In other words, lists behave like a logical `or` operator.

**`or`** - Equivalent to the `,` operator. Added in Media Queries Level 4.

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media#logical_operators)"
"Given this Media Queries: 

```
  @media screen {
	  a {
		  color: cyan;
		  text-decoration: underline;
	  } 
  }
	
  @media print {
	  a::after {
		  content: "" ("" attr(href) "")"";
	  } 
  }
```
	
What will the browser print depending on the media type?","On screen:
[foo](http://foo.com)
 
On paper:

```
Foo (http://foo.com)
```

## Footnote

Source [dotConference/2017](https://www.dotconferences.com/2017/11/florian-rivoal-media-queries-4)"
Is it possible to nest Media Queries?,"Yes. 

For example you could do:

```
@media screen and (orientation: portrait), print {
  @media (min-width: 20em) and (max-width: 40em) {
    …
  }
}
```"
What are the interaction media features?,"Allows a media query to be set based on the presence and accuracy of the user's pointing device, and whether they have the ability to hover over elements on the page. This includes the `pointer`, `any-pointer`, `hover`, and `any-hover` media features.


**`any-hover`** - Does any available input mechanism allow the user to hover over elements? Added in Media Queries Level 4.

**`any-pointer`** - Is any available input mechanism a pointing device, and if so, how accurate is it? Added in Media Queries Level 4.

**`pointer`** - Is the primary input mechanism a pointing device, and if so, how accurate is it? Added in Media Queries Level 4.

**`hover`** - Does the primary input mechanism allow the user to hover over elements? Added in Media Queries Level 4.

## Footnote

Source [w3.org](https://www.w3.org/TR/mediaqueries-4/#mf-interaction) and [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media)"
What is the range syntax of media queries level 4?,"Syntax improvements to make media queries using features that have a ""range"" type (like width or height) less verbose. Can be used with ordinary mathematical comparison operators: >, <, >=, or <=.
 
For example: 
 
`@media (100px <= width <= 1900px)` is the equivalent of `@media (min-width: 100px) and (max-width: 1900px)`

## Footnote

Source [w3.org](https://www.w3.org/TR/mediaqueries-4/#mq-range-context)"
Explain the **pointer** CSS media feature,"The `pointer` CSS media feature tests whether the user has a pointing device (such as a mouse), and if so, how accurate the primary pointing device is.

**Note**: If you want to test the accuracy of any pointing device, use `any-pointer` instead.

**Syntax**
The `pointer` feature is specified as a keyword value chosen from the list below.

**`none`** - The primary input mechanism does not include a pointing device.

**`coarse`** - The primary input mechanism includes a pointing device of limited accuracy.

**`fine`** - The primary input mechanism includes an accurate pointing device.

Example: 

```
@media (pointer: fine) {
  input[type=""checkbox""] {
    width: 15px;
    height: 15px;
    border-width: 1px;
    border-color: blue;
  }
}

@media (pointer: coarse) {
  input[type=""checkbox""] {
    width: 30px;
    height: 30px;
    border-width: 2px;
    border-color: red;
  }
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/pointer)"
Explain the **hover** CSS media feature,"The `hover` CSS media feature can be used to test whether the user's primary pointing mechanism can hover over elements.
 
**Syntax**

The `hover` feature is specified as a keyword value chosen from the list below.
 
**`none`** - The primary input mechanism cannot hover at all or cannot conveniently hover (e.g., many mobile devices emulate hovering when the user performs an inconvenient long tap), or there is no primary pointing input mechanism.

**`hover`** - The primary input mechanism can conveniently hover over elements.

Example: 
 
```
@media (hover: hover) {
  /* when hover is supported */
  a:hover {
    color: white;
    background: black;
  }
}

```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/hover)"
Explain the **update** CSS media feature,"The `update` CSS media feature can be used to test how frequently (if at all) the output device is able to modify the appearance of content.

**Syntax**
The `update` feature is specified as a single keyword value chosen from the list below.

**`none`** - Once it has been rendered, the layout can no longer be updated. Example: documents printed on paper.

**`slow`** - The layout may change dynamically according to the usual rules of CSS, but the output device is not able to render or display changes quickly enough for them to be perceived as a smooth animation. Examples: e-book readers or severely underpowered devices.

**`fast`** - The layout may change dynamically according to the usual rules of CSS, and the output device is not unusually constrained in speed, so regularly-updating things like CSS Animations can be used. Example: computer screens.

Note: this feature is still considered experimental. Check its [browser compatibility](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/update-frequency#browser_compatibility) before using it.

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/update-frequency)"
Explain the **overflow-block** CSS media feature,"The `overflow-block` CSS media feature can be used to test how the output device handles content that overflows the initial containing block along the block axis.

**Syntax**
The `overflow-block` feature is specified as a keyword value chosen from the list below.

**`none`** - Content that overflows the block axis is not displayed.

**`scroll`** - Content that overflows the block axis can be seen by scrolling to it.

**`optional-paged`** - Content that overflows the block axis can be seen by scrolling to it, but page breaks can be manually triggered (such as via [`break-inside`](https://developer.mozilla.org/en-US/docs/Web/CSS/break-inside), etc.) to cause the following content to display on the following page.

**`paged`** - Content is broken up into discrete pages; content that overflows one page in the block axis is displayed on the following page.

**NOTE**: support for this feature is still limited. Check its [browser compatibility](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/overflow-block#browser_compatibility) before using it

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/overflow-block)"
Explain the **scripting** CSS media feature,"The `scripting` CSS media feature can be used to test whether scripting (such as JavaScript) is available.

**Syntax**
The `scripting` feature is specified as a keyword value chosen from the list below.

**`none`** - Scripting is completely unavailable on the current document.

**`initial-only`** - Scripting is enabled during the initial page load, but not afterwards.

**`enabled`** - Scripting is supported and active on the current document.

NOTE: This media feture is part of level 5 specification and not yet supported. Please check [browser compatibility](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/scripting#browser_compatibility) before using it.

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/scripting)"
Explain the difference between **pointer** and **any-pointer** CSS media features,"The **any-pointer** CSS media feature tests whether the user has any pointing device (such as a mouse) while **pointer** tests the primary pointing device.

Everything else remains the same.

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/any-pointer)"
Explain the difference between **hover** and **any-hover** CSS media features,"The **any-hover** CSS media feature can be used to test whether any available input mechanism can hover over elements. While **hover** CSS media tests whether the user's primary input mechanism can hover over elements.

Everything else remains the same

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/@media/any-hover)"
When should you add a break point with CSS Media Queries?,"You should add a breakpoint when your design breaks.

**NOTE**: avoid antipatterns like creating breakpoints for popular devices.

## Footnote

Source [smashingmagazine](https://www.smashingmagazine.com/2018/02/media-queries-responsive-design-2018/#don-t-target-devices-add-breakpoints-when-the-design-breaks)"
Why should you avoid breakpoints based on popular devices?,"Because popular devices change from time to time and from once version to the next version. And you will need to keep updating the breakpoints

For example:

```
@media (width: 320px) { /* iPhone design */ }
@media (width: 320px), (width: 375px) { /* iPhone design */ }
@media (width: 320px), (width: 375px), (width: 414px) { /* iPhone design */ }
```

Instead you should add breakpoints whenever your design breaks/changes

```
@media (width < 20em) { /* narrow design*/ }
```

## Footnote

Source [dotConference/2017](https://www.dotconferences.com/2017/11/florian-rivoal-media-queries-4)"
What units should you use on your Media Queries?,"You should favor **em** units instead of **px** units.

They will give a consistent result if the user has larger text that you expected.

## Footnote

Source [smashingmagazine](https://www.smashingmagazine.com/2018/02/media-queries-responsive-design-2018/#it-s-not-all-about-pixels)"
How can you do progressive enhancement with media queries?,"Testing for media features:

```
@media (hover) {
    .can-i-hover::after {
        content: ""You look like you can hover."";    
    } 
}

@media  (hover:none) {
    .can-i-hover::after {
        content: ""I don't think you can hover."";    
    } 
}
```

## Footnote

Source [smashingmagazine](https://www.smashingmagazine.com/2018/02/media-queries-responsive-design-2018/#detecting-pointer-type-rather-than-screen-size)"
How can you negate a Media Query?,"The ***not*** keyword inverts the meaning of an entire media query. It will only negate the specific media query it is applied to. (Thus, it will not apply to every media query in a comma-separated list of media queries.)

The ***not*** keyword can't be used to negate an individual feature query, only an entire media query. The not is evaluated last in the following query:

```
@media not all and (monochrome) {
  /* … */
}
```

The above query is evaluated like this:

```
@media not (all and (monochrome)) {
  /* … */
}
```

As another example, the following media query:

```
@media not screen and (color), print and (color) {
  /* … */
}
```

This means that the above query is evaluated like this:

```
@media (not (screen and (color))), print and (color) {
  /* … */
}
```

## Footnote

Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Media_Queries/Using_media_queries#inverting_a_querys_meaning)"

Question,Answer
containment,containment
What does CSS containment do?,"CSS containment improves the performance of web pages by allowing the browser to isolate a subtree of the page from the rest of the page. If the browser knows that a part of the page is independent from the rest of the content, rendering can be optimized and performance improved.

The [`contain`](https://developer.mozilla.org/en-US/docs/Web/CSS/contain) and [`content-visibility`](https://developer.mozilla.org/en-US/docs/Web/CSS/content-visibility) properties enable developers to inform user agents whether or not an element should render its contents at all, and whether it should render its contents when it is offscreen. The user agent then applies containment to elements when appropriate, potentially deferring layout and rendering until needed.

## Footnote

[""Using CSS containment - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_containment/Using_CSS_containment) Retrieved April 18, 2024."
`contain` CSS property,"The `contain` CSS property indicates that an element and its contents are, as much as possible, independent from the rest of the document tree. Containment enables isolating a subsection of the DOM, providing performance benefits by limiting calculations of `layout`, `style`, `paint`, `size`, or any combination to a DOM subtree rather than the entire page. Containment can also be used to scope CSS counters and quotes.

**Note**: using `layout`, `paint`, `strict` or `content` values for this property creates:

* A new [containing block](https://developer.mozilla.org/en-US/docs/Web/CSS/Containing_block) (for the descendants whose `position` property is `absolute` or `fixed`).
* A new [stacking context](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_positioned_layout/Understanding_z-index/Stacking_context).
* A new [block formatting context](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_display/Block_formatting_context).

**Syntax**

```
/* Keyword values */
contain: none;
contain: strict;
contain: content;
contain: size;
contain: inline-size;
contain: layout;
contain: style;
contain: paint;

/* Multiple keywords */
contain: size paint;
contain: size layout paint;
contain: inline-size layout;
```

**Values**

The `contain` property can have any of the following values:

* The keyword `none` or
* One or more of the space-separated keywords `size` (or `inline-size`), `layout`, `style`, and `paint` in any order or
* One of the shorthand values `strict` or `content`

The keywords have the following meanings:

* `none` - The element renders as normal, with no containment applied.
* `strict` - All containment rules are applied to the element. This is equivalent to `contain: size layout paint style`.
* `content` - All containment rules except size are applied to the element. This is equivalent to `contain: layout paint style`.
* `size` - Size containment is applied to the element in both the inline and block directions. The size of the element can be computed in isolation, ignoring the child elements. This value cannot be combined with `inline-size`.
* `inline-size` - Inline size containment is applied to the element. The inline size of the element can be computed in isolation, ignoring the child elements. This value cannot be combined with `size`.
* `layout` - The internal layout of the element is isolated from the rest of the page. This means nothing outside the element affects its internal layout, and vice versa.
* `style` - For properties that can affect more than just an element and its descendants, the effects don't escape the containing element. Counters and quotes are scoped to the element and its contents.
* `paint` -  Descendants of the element don't display outside its bounds. If the containing box is offscreen, the browser does not need to paint its contained elements — these must also be offscreen as they are contained completely by that box. If a descendant overflows the containing element's bounds, then that descendant will be clipped to the containing element's border-box.

## Footnote

[""`contain` - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/contain) Retrieved April 19, 2024."
Explain `contain: paint;`,"Paint containment is achieved with 

```
contain: paint;
```

Applying that CSS rule to an element will prevent descendants of the element from displaying outside its bounds. 
If the element's containing box is offscreen, the browser does not need to paint its contained elements.

Example:

The following example shows how to use contain: paint to prevent an element's descendants from painting outside of its bounds.

CSS

```
div {
  width: 100px;
  height: 100px;
  background: red;
  margin: 10px;
  font-size: 20px;
}
```

HTML

```
<div style=""contain: paint"">
  <p>This text will be clipped to the bounds of the box.</p>
</div>
<div>
  <p>This text will not be clipped to the bounds of the box.</p>
</div>
```

## Footnote

[""Paint containment"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/contain#paint_containment) Retrieved April 19, 2024."
Explain `contain: layout;`,"The `layout` containment value informs the browser that none of the element’s descendants affect other elements on the page, nor do those other elements have any effect on the descendants of the contained element. This allows the browser to potentially reduce the number of calculations necessary when creating the page layout

Another benefit is that if the contained element is off-screen or obscured in some way, then the browser may delay or shift related calculations to a lower priority. An example of this is a contained element not in view at the end of a block element and the beginning of that block element is visible.

An element with layout containment becomes a containing box for positioned descendants — such as elements with absolute positioning. The element receives a new stacking context in relation to the page and the `z-index` property can be used. Although, directional properties, such as `top` or `left`, do not apply.

## Footnote

[ ""contain layout | CSS-Tricks""].](https://css-tricks.com/almanac/properties/c/contain/) Retrieved May 27, 2024."
Explain `contain: style;`,"Style containment scopes [`counters`](https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_counter_styles/Using_CSS_counters) and [`quotes`](https://developer.mozilla.org/en-US/docs/Web/CSS/quotes) to the contained element. For CSS counters, the [`counter-increment`](https://developer.mozilla.org/en-US/docs/Web/CSS/counter-increment) and [`counter-set`](https://developer.mozilla.org/en-US/docs/Web/CSS/counter-set) properties are scoped to the element as if the element is at the root of the document.

## Footnote

[""Style containment"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/contain#style_containment) Retrieved April 20, 2024."
